	cpd	cv	ppm	amp	fwhm	fwhm2
0	Glucose	l	98.88362411747318	1300.287	0.040938334884913274	0
1	Glucose	l	98.84706378482701	459.33075	0.010317958813431005	0
2	Glucose	l	98.61138063552832	582.29675	0.01357771996390511	0
3	Glucose	l	98.57505873934491	1342.1873	0.0358243157338336	0
4	Glucose	l	95.05834871163239	1013.70197	0.03492765101620421	0
5	Glucose	l	94.75628757691669	1071.7477	0.033899633626162995	0
6	Glucose	l	78.96442893370363	1070.0868	0.031101668873048993	0
7	Glucose	l	78.90957822723155	371.12115	0.035612683081780006	0
8	Glucose	l	78.68291956254129	2432.737	0.04683882138337481	0
9	Glucose	l	78.40879516406889	1892.6967	0.03195293063086524	0
10	Glucose	l	77.31810182154263	1087.5259	0.032798064213807265	0
11	Glucose	l	77.06317672726328	743.5416	0.02654247886201233	0
12	Glucose	l	77.01509120938579	1035.3175	0.03472253214650323	0
13	Glucose	l	76.75733975073234	770.66797	0.029873680861783214	0
14	Glucose	l	75.91380353743071	353.0519	0.03927643869005237	0
15	Glucose	l	75.66220806772816	913.6304	0.03920704331724778	0
16	Glucose	l	75.40946656133212	628.55634	0.03928014047468764	0
17	Glucose	l	74.62353632421784	625.32324	0.03829505627103913	0
18	Glucose	l	74.49672295064573	545.6908	0.023883377637673675	0
19	Glucose	l	74.37009945359804	360.05496	0.03832822975110162	0
20	Glucose	l	74.32025101938129	578.206	0.03284156571291419	0
21	Glucose	l	74.22200059717451	1015.9278	0.03211556089431156	0
22	Glucose	l	74.06967032322319	399.16333	0.031336988156283496	0
23	Glucose	l	73.94317578571889	738.5146	0.025638635216751027	0
24	Glucose	l	72.73533746444772	1154.0999	0.0490608993125079	0
25	Glucose	l	72.46929015336133	1779.2362	0.05350067403423964	0
26	Glucose	l	72.19630400233709	829.3725	0.033037316201841804	0
27	Glucose	l	72.24145696060273	330.5639	0.02846563001239133	0
28	Glucose	l	63.76238542030481	1295.103	0.05040084192307859	0
29	Glucose	l	63.61943462228962	913.1912	0.03775796943864407	0
30	Glucose	l	63.51054842003137	304.79178	0.011442146152376154	0
31	Glucose	l	63.473613073672226	1342.1127	0.03827328887365411	0
32	Glucose	l	63.33337309787274	875.2434	0.03864402782272691	0
